TEXT | 379429 | 123456|
706911027 | 610615822 | dsad|
202264461 | 793402027 | dsadsad|
594030983 | 190117291 | dsad|
549728090 | 926313415 | dsad|
168270078 | 120566957 | dsad|
243234135 | 549383377 | dsad|
474538944 | 159493775 | dsada|
119542960 | 739815767 | dsad|
536679280 | 463724009 | dsad|
624888649 | 297138750 | dsadas|
315421284 | 583547993 | dsads|
704172008 | 180810040 | dasa|
793339122 | 387278378 | dasa|
480330913 | 416070698 | dsadsa|
756953468 | 516059370 | dsadas|
406902170 | 408319382 | dsad|
117139608 | 443643790 | dsad|
673312624 | 878396770 | sadasd|
914632051 | 531668588 | dsada|
871562319 | 116703310 | dsadsad|
580197209 | 681553938 | dsadsa|
468028091 | 586157380 | dsadsa|
446555296 | 533325555 | dsadas|
669934154 | 200098461 | dsadsa|
975814219 | 316927242 | dsad|
856959252 | 406930192 | dsad|
468944325 | 639008954 | dsadsad|
649613686 | 346742452 | dsada|
346742452 | 316926085 | dsada|
316926085 | 161339293 | dsada|
458663722 | 457375708 | dasda|
754587281 | 800912829 | dsadasd|
697766200 | 285965887 | dsadad|
307953193 | 213985603 | dsadas|
788443735 | 768574377 | dasdsad|
145911523 | 450786232 | dsadasd|
458512866 | 328394503 | dsadasd|
215062333 | 434934653 | dsadasd|
434934653 | 337337202 | dsadasd|
337337202 | 265878031 | dsadasd|
265878031 | 609104449 | dsadasd|
555656989 | 997116398 | dsadsa|
584491199 | 335367332 | dsadsad|
318922932 | 177443163 | dsadsad|
529959881 | 452130718 | dsad|
353042460 | 449104918 | dsad|
570349247 | 542176074 | dsada|
597870209 | 148592812 | dsad|
674171672 | 243369851 | dsadas|
358265722 | 113476983 | dsad|
723734680 | 247814393 | dsadasd|
688836572 | 786384684 | dsadsa|
124900934 | 369122285 | dsads|
103559566 | 665184136 | dsadd|
166440204 | 804795333 | dsadasd|
740599557 | 339261921 | ddddd|
567789987 | 432962751 | dsadasd|
389995064 | 127480985 | dsadsad|
455073185 | 764492924 | dsadsad|
829808492 | 623311555 | dsadad|
731784206 | 112400120 | dsadasd|
912067658 | 844607498 | sasasa|
504111115 | 552561350 | dsadasd|
761277874 | 419482110 | dsadsad|
288199014 | 804421482 | 12132123|
597228019 | 766636621 | dsadad|
171150375 | 462970015 | dsadad|
723419640 | 168900132 | dsadsad|
177763397 | 302545608 | dsadsad|
353180215 | 481202840 | dsadsad|
183209129 | 682270142 | dsada|
853615970 | 702935403 | dsada|
237628041 | 780290504 | dsadsad|
780290504 | 716445974 | dsadsad|
716445974 | 574733120 | dsadsad|
574733120 | 241139549 | dsadsad|
241139549 | 809596572 | dsadsad|
809596572 | 707108719 | dsadsad|
707108719 | 591858325 | dsadsad|
591858325 | 474113225 | dsadsad|
474113225 | 649191627 | dsadsad|
623427183 | 907111197 | dsadsad|
907111197 | 360950341 | dsadsad|
360950341 | 621509428 | dsadsad|
621509428 | 983242039 | dsadsad|
570106389 | 780134720 | dsada|
780134720 | 234593242 | dsada|
429279047 | 927245710 | dsadsd|
188287858 | 654495085 | dsads|
444078744 | 587761579 | dsad|
800135082 | 655697812 | dsad|
388507319 | 459083719 | dsadsd|
216635948 | 208886935 | dsad|
323132932 | 343302638 | dsadsad|
343302638 | 689248026 | dsadsad|
214857791 | 390345227 | dsadasd|
390345227 | 565773628 | dsadasd|
649958587 | 409677656 | dsadsa|
161389216 | 925593900 | dsad|
490652461 | 870829560 | dsadsad|
578650641 | 107336710 | dsadsa|
212562500 | 147762276 | dsadsad|
509809844 | 809244286 | dsadsad|
909792534 | 335963766 | dsadad|
102629658 | 491712567 | dsadsad|
184690705 | 888392859 | dsadsad|
272028661 | 352237738 | dsadasd|
352237738 | 124293942 | dsadasd|
979918768 | 562576677 | dsadasd|
599977716 | 180781713 | dsad|
317228910 | 300817129 | dsadsada|
564758589 | 357527610 | dsada|
927628619 | 638313295 | dsadsad|
358235617 | 154608962 | dsadsad|
524635593 | 235689627 | dsadsad|
387509739 | 702315876 | dsadsad|
427829105 | 203963268 | 12313|
241046494 | 805133167 | dsadsad|
160455572 | 432774260 | dsadsad|
342691642 | 882957925 | 1231321|
820243605 | 670860537 | dasdsad|
493326522 | 265497475 | dsadasd|
317901912 | 573103526 | 123456|
625940601 | 505762837 | dsadsa|
117344534 | 127806567 | dsadsad|
127806567 | 434082815 | dsadsad|
434082815 | 635285214 | dsadsad|
603968631 | 749369027 | sasass|
976244362 | 677841802 | dsad|
677841802 | 394735836 | dsad|
855156068 | 410040774 | dsada|
914906285 | 957738483 | dsad|
642364329 | 227231225 | dsadsad|
724811755 | 960560011 | dsad|
932552213 | 431972261 | dsadas|
532034310 | 989027751 | dsad|
775596555 | 912983329 | dsadsad|
886973079 | 426079936 | 12313|
387808193 | 578721004 | 12313|
578721004 | 892183952 | 12313|
611363603 | 272792528 | 12013|
272792528 | 635584017 | 12013|
892150516 | 459971087 | 12013|
459971087 | 904799478 | 12013|
279891319 | 366664206 | 12313|
366664206 | 468243756 | 12313|
468243756 | 108419764 | 12313|
108419764 | 355308687 | 12313|
355308687 | 194675438 | 12313|
921089866 | 965999074 | 12313|
965999074 | 594145397 | 12313|
262188829 | 609705022 | 1231|
333838629 | 699196628 | 1321|
460720934 | 827656259 | 12313|
199903552 | 531253767 | 12313|
377257761 | 373000257 | 12313|
373000257 | 691727040 | 12313|
691727040 | 468938942 | 12313|
468938942 | 345749509 | 12313|
345749509 | 341143682 | 12313|
341143682 | 158213890 | 12313|
158213890 | 960103656 | 12313|
960103656 | 899217620 | 12313|
899217620 | 292047142 | 12313|
292047142 | 925243772 | 12313|
925243772 | 241133546 | 12313|
489638518 | 597732918 | 12313|
907032258 | 449772349 | 12313|
705885081 | 564296186 | 12313|
729554236 | 600571919 | 12313|
935309579 | 671562664 | 123131|
671562664 | 214930890 | 123131|
136930805 | 383750515 | 12313|
598911632 | 216982100 | 12313|
677688528 | 919686354 | dsadsa|
420367697 | 228448159 | dsadsad|
361274269 | 349978074 | dsadsa|
349978074 | 708681318 | dsadsa|
708681318 | 187170706 | dsadsa|
187170706 | 159703187 | dsadsa|
159703187 | 135827562 | dsadsa|
135827562 | 983175433 | dsadsa|
983175433 | 359566678 | dsadsa|
359566678 | 957924262 | dsadsa|
957924262 | 557766135 | dsadsa|
557766135 | 705814084 | dsadsa|
705814084 | 915334385 | dsadsa|
915334385 | 444645782 | dsadsa|
444645782 | 411711933 | dsadsa|
411711933 | 478881030 | dsadsa|
478881030 | 508397746 | dsadsa|
508397746 | 304983736 | dsadsa|
304983736 | 897968396 | dsadsa|
897968396 | 776330126 | dsadsa|
776330126 | 764490858 | dsadsa|
764490858 | 594033167 | dsadsa|
594033167 | 387226788 | dsadsa|
387226788 | 487579816 | dsadsa|
369744420 | 555836328 | dsadsad|
400135199 | 486676030 | dsadsad|
468473280 | 217610004 | dsada|
217610004 | 908675863 | dsada|
847837827 | 748785347 | dsada|
604308749 | 589940055 | dsadsad|
686579937 | 710766431 | dsadsad|
710766431 | 343309853 | dsadsad|
456762604 | 164106867 | dsadsa|
631297036 | 316601722 | dsadas|
395557891 | 579698040 | 123213|
973969855 | 472175548 | 12313|
472175548 | 351877078 | 12313|
351877078 | 544783601 | 12313|
337252571 | 530372511 | 12313|
530372511 | 897836946 | 12313|
897836946 | 120469935 | 12313|
120469935 | 936892464 | 12313|
936892464 | 897675363 | 12313|
897675363 | 842558516 | 12313|
428414768 | 536411874 | 12313|
941703037 | 719560646 | 12313|
719560646 | 854847859 | 12313|
854847859 | 723383132 | 12313|
723383132 | 163253962 | 12313|
163253962 | 108850717 | 12313|
108850717 | 477646237 | 12313|
477646237 | 222592029 | 12313|
222592029 | 782202124 | 12313|
782202124 | 417491562 | 12313|
369419138 | 128328880 | 1231|
700292187 | 464824530 | dxasdsa|
207621398 | 322690840 | 12313|
424211181 | 251914995 | 12313|
169478047 | 710151243 | dsadsad|
432194082 | 268625771 | dsadsd|
268625771 | 798257201 | dsadsd|
798257201 | 188170648 | dsadsd|
653413298 | 777262795 | dasd|
777262795 | 783735575 | dasd|
783735575 | 462332145 | dasd|
462332145 | 587465185 | dasd|
567244404 | 276281161 | dasdsa|
276281161 | 291810244 | dasdsa|
291810244 | 911698593 | dasdsa|
911698593 | 164961152 | dasdsa|
164961152 | 235176345 | dasdsa|
557699569 | 163126991 | dasdsad|
163126991 | 199572363 | dasdsad|
828553144 | 811738705 | dsadsa|
811738705 | 112806344 | dsadsa|
261050988 | 880188027 | dsads|
841025122 | 134645000 | dsadasd|
134645000 | 695490697 | dsadasd|
812276284 | 343351255 | dsadasd|
343351255 | 281789903 | dsadasd|
390750006 | 153775608 | dsdasad|
153775608 | 996405612 | dsdasad|
996405612 | 176708647 | dsdasad|
176708647 | 279964702 | dsdasad|
279964702 | 340163417 | dsdasad|
340163417 | 913468861 | dsdasad|
913468861 | 444327484 | dsdasad|
444327484 | 938604095 | dsdasad|
938604095 | 855245900 | dsdasad|
855245900 | 985656800 | dsdasad|
263128804 | 470339195 | 55|
470339195 | 427505833 | 55|
933479097 | 268411787 | 555|
268411787 | 591168955 | 555|
591168955 | 101672296 | 555|
494812634 | 608244787 | 12313|
608244787 | 383262593 | 12313|
383262593 | 719006003 | 12313|
660021901 | 575715806 | dsadsad|
702490866 | 425813606 | 12313|
722380238 | 157944563 | 12313|
999067327 | 931110683 | 1111111|
431576377 | 370903284 | dsad|
606052329 | 485196536 | dsad|
485196536 | 285260562 | dsad|
150490490 | 485953454 | 111111|
198742511 | 667821009 | 12313|
667821009 | 706252588 | 12313|
706252588 | 233688795 | 12313|
198286945 | 989711780 | 111111|
721705450 | 533785153 | 1511|
493840898 | 475586940 | 555|
554081447 | 362012664 | 6666|
942493901 | 483999255 | 1111111|
677311734 | 239579952 | 12313|
529602788 | 976374220 | 12313|
457366159 | 852518753 | 1|
781343289 | 650718435 | 1|
116058348 | 414763650 | dsadsd|
447787779 | 878070143 | dsadsd|
263575868 | 453593051 | dsad|
533314505 | 142429993 | dsad|
930717680 | 535572757 | dsad|
535572757 | 779529343 | dsad|
756292879 | 718353839 | dsad|
718353839 | 555352848 | dsad|
302618063 | 273302887 | dasd|
165990643 | 301986708 | dsad|
301986708 | 225594844 | dsad|
225594844 | 182963274 | dsad|
182963274 | 388142990 | dsad|
388142990 | 648711204 | dsad|
239335795 | 711491738 | dsad|
512414893 | 165014471 | dsad|
725348107 | 493147902 | 111|
639546436 | 255067216 | 12313|
255067216 | 115558245 | 12313|
870225697 | 106751800 | 12313|
106751800 | 754089727 | 12313|
614484123 | 472907397 | dsadasd|
274846507 | 444519258 | 111|
444519258 | 759334867 | 111|
535931175 | 147955815 | 12314|
147955815 | 125002441 | 12314|
996937303 | 362607657 | 12313|
145060629 | 901116378 | 12313|
901116378 | 629627259 | 12313|
445797538 | 462371345 | 1|
462371345 | 596850402 | 1|
813533925 | 856598442 | 111|
613430734 | 457840899 | 111|
457840899 | 223981131 | 111|
721102429 | 822496485 | 111|
124911324 | 285456831 | 11|
285456831 | 114602060 | 11|
394090386 | 313568627 | 12313|
951547567 | 317425920 | 12313|
317425920 | 230018223 | 12313|
230018223 | 255624417 | 12313|
681521182 | 344591659 | dsadsad|
610862222 | 417217252 | dsadsad|
677046053 | 987121113 | dsadasd|
906107220 | 514516643 | dsad|
614557555 | 530324531 | dsad|
908676800 | 432582273 | dsad|
822886004 | 732891927 | dsad|
942032903 | 149957343 | 142313|
517534561 | 445205004 | dsads|
256490518 | 959447246 | dsad|
712916537 | 725587121 | dsad|
725587121 | 728041101 | dsad|
984295022 | 307476618 | dsad|
307476618 | 252405425 | dsad|
440585526 | 726448346 | dsadad|
416647346 | 744481707 | dsad|
789704879 | 798271431 | dsad|
352652631 | 405158646 | dsad|
517647445 | 900428081 | dasd|
796431105 | 757570968 | dsadasd|
195320509 | 582067857 | dsad|
387982217 | 727450704 | dsad|
410938890 | 837297834 | dsad|
308393819 | 731733326 | dsad|
104393940 | 496761619 | 12313|
462187340 | 276800738 | dsadsa|
326576787 | 560075764 | dsad|
321079650 | 252750653 | dsadsad|
252750653 | 545092656 | dsadsad|
545092656 | 753475415 | dsadsad|
411212895 | 663306799 | dsadsa|
663306799 | 133634948 | dsadsa|
991746629 | 337956378 | dsadsad|
311305602 | 575606616 | 12313|
253539677 | 300307168 | dsadsad|
441455806 | 795819099 | dsadsad|
157408385 | 594023608 | sdasd|
373097951 | 454042880 | dsadad|
932515130 | 882969788 | dsadsad|
691371992 | 376599047 | dsadsd|
413944363 | 937174295 | dsadsad|
218799955 | 532398166 | dsad|
733245198 | 206391622 | dsadsad|
825953158 | 511159847 | dsad|
719875790 | 160671059 | dsadsa|
801722972 | 494530293 | dsad|
790813077 | 610850871 | dsadsad|
879993390 | 106728011 | dsadsa|
316292862 | 700627210 | dsadsa|
483058377 | 140583292 | dsadsad|
657835802 | 885481152 | dsad|
486936366 | 248717482 | dsadsad|
896015961 | 830646612 | dsadsad|
723412961 | 428795930 | dsadsad|
175152982 | 385203905 | dasdasd|
961530249 | 142790015 | sasas|
142790015 | 620362608 | sasas|
620362608 | 911668470 | sasas|
911668470 | 587995616 | sasas|
587995616 | 619866021 | sasas|
619866021 | 448080388 | sasas|
448080388 | 539974929 | sasas|
539974929 | 733160018 | sasas|
733160018 | 791847827 | sasas|
791847827 | 467239613 | sasas|
467239613 | 231763411 | sasas|
231763411 | 787975104 | sasas|
787975104 | 738006271 | sasas|
738006271 | 328638911 | sasas|
328638911 | 817830719 | sasas|
817830719 | 181186424 | sasas|
181186424 | 267870705 | sasas|
267870705 | 973001859 | sasas|
973001859 | 280229420 | sasas|
280229420 | 567777877 | sasas|
567777877 | 770867210 | sasas|
770867210 | 673395390 | sasas|
673395390 | 169165987 | sasas|
169165987 | 488662351 | sasas|
488662351 | 769849978 | sasas|
769849978 | 803549660 | sasas|
803549660 | 582971876 | sasas|
582971876 | 234664342 | sasas|
234664342 | 599191799 | sasas|
599191799 | 976267649 | sasas|
976267649 | 359979309 | sasas|
359979309 | 420581108 | sasas|
420581108 | 145849216 | sasas|
145849216 | 824739816 | sasas|
824739816 | 266373011 | sasas|
266373011 | 779632346 | sasas|
779632346 | 664652846 | sasas|
664652846 | 616174773 | sasas|
616174773 | 103684681 | sasas|
103684681 | 355900566 | sasas|
355900566 | 884727665 | sasas|
884727665 | 329706231 | sasas|
329706231 | 166764483 | sasas|
166764483 | 617461222 | sasas|
617461222 | 508209082 | sasas|
508209082 | 499032345 | sasas|
499032345 | 660789597 | sasas|
660789597 | 440214077 | sasas|
440214077 | 165455947 | sasas|
165455947 | 646954779 | sasas|
646954779 | 313075306 | sasas|
313075306 | 447670633 | sasas|
447670633 | 601344117 | sasas|
601344117 | 634688567 | sasas|
634688567 | 447983861 | sasas|
447983861 | 473326454 | sasas|
473326454 | 662398959 | sasas|
678393286 | 133502479 | dsadsad|
133502479 | 343734151 | dsadsad|
693322786 | 289807367 | dsads|
590699048 | 258917738 | dasa|
242230957 | 264434035 | dsadsa|
383269046 | 702397590 | dsdsd|
788504642 | 406669879 | dsad|
825263686 | 278047068 | dsad|
100691937 | 396974514 | dsad|
254032803 | 453387874 | sadsad|
677827168 | 131515090 | dsadsa|
240256869 | 639104814 | dsad|
702889550 | 268087232 | dsadad|
535359395 | 198723884 | dsadsad|
620843976 | 564075750 | dasda|
156474433 | 378160966 | dsad|
177006022 | 118782451 | dsad|
326427209 | 193824778 | dsad|
325158484 | 911935375 | 1231|
240371815 | 833265685 | 12313|
221388640 | 761278149 | 12313|
219122229 | 269295397 | ddd|
422084032 | 433189953 | ss|
606747336 | 242048268 | dsad|
519288397 | 632559024 | dsad|
180074454 | 426990551 | dsad|
110678417 | 259508613 | dsad|
839871837 | 420066525 | dsad|
365896052 | 806236215 | dsad|
313047983 | 281194760 | dsad|
487079099 | 678474191 | dsad|
134848908 | 828397945 | dsad|
379393752 | 281696627 | dsad|
502249706 | 800938847 | dsad|
170421539 | 868720214 | dsad|
874883786 | 903067832 | dsad|
396283249 | 662180637 | dsad|
660936726 | 308469092 | dsad|
742020916 | 957958432 | dsad|
567913459 | 210421028 | dsad|
432814291 | 174361436 | dsad|
695271051 | 404670391 | dsad|
422113432 | 206460550 | dsad|
331993059 | 685147000 | dsad|
393717070 | 407545040 | dsa|
961815057 | 519367406 | dsad|
662708153 | 108704503 | dsad|
551144951 | 203481359 | d|
955715204 | 838752346 | ds|
664708925 | 179908907 | dsad|
dsadsad | 628966786 | 123132|
256650989 | 180843073 | dsad|
fsadsa | 254597740 | dsad|
775104689 | 771411619 | dsad|
527038198 | 375810234 | dsad|
418384856 | 193592003 | dsad|
571763570 | 284143165 | dsad|
295647758 | 391691821 | dsad|
628989051 | 171590348 | dsad|
581884697 | 311992808 | dsad|
216629568 | 623958285 | dsad|
194571360 | 613573560 | dsad|
280485986 | 184341028 | dsad|
220336984 | 727787034 | dsad|
764455664 | 847060051 | dsad|
928137953 | 856967645 | dsad|
657397338 | 840153754 | dsad|
379858332 | 262625378 | das|
189455087 | 256414072 | fdsdsd|
687980274 | 544714623 | dsad|
822312583 | 667995909 | dsadsad|
224811853 | 599706624 | dsad|
552828543 | 451251485 | dsad|
374712455 | 544213461 | dsad|
117257236 | 291389224 | gfgf|
150469191 | 235303280 | dsad|
612148912 | 229566108 | dsad|
591813688 | 897079637 | dsad|
172408543 | 873926206 | dsad|
134149269 | 842613079 | dsad|
756088509 | 393130593 | dsad|
199983731 | 424734550 | dsad|
